Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,IsPersonalBest,Race,Year,LapTimeSeconds
VER,Red Bull Racing,1,0 days 00:01:39.019000,SOFT,4,1,FALSE,Bahrain,2023,99.019
VER,Red Bull Racing,2,0 days 00:01:37.974000,SOFT,5,1,TRUE,Bahrain,2023,97.974
VER,Red Bull Racing,3,0 days 00:01:38.006000,SOFT,6,1,FALSE,Bahrain,2023,98.006
VER,Red Bull Racing,4,0 days 00:01:37.976000,SOFT,7,1,FALSE,Bahrain,2023,97.976
VER,Red Bull Racing,5,0 days 00:01:38.035000,SOFT,8,1,FALSE,Bahrain,2023,98.035
VER,Red Bull Racing,6,0 days 00:01:37.986000,SOFT,9,1,FALSE,Bahrain,2023,97.986
VER,Red Bull Racing,7,0 days 00:01:38.021000,SOFT,10,1,FALSE,Bahrain,2023,98.021
VER,Red Bull Racing,8,0 days 00:01:38.154000,SOFT,11,1,FALSE,Bahrain,2023,98.154
VER,Red Bull Racing,9,0 days 00:01:38.278000,SOFT,12,1,FALSE,Bahrain,2023,98.278
VER,Red Bull Racing,10,0 days 00:01:38.369000,SOFT,13,1,FALSE,Bahrain,2023,98.369
VER,Red Bull Racing,11,0 days 00:01:38.483000,SOFT,14,1,FALSE,Bahrain,2023,98.483
VER,Red Bull Racing,12,0 days 00:01:38.591000,SOFT,15,1,FALSE,Bahrain,2023,98.591
VER,Red Bull Racing,13,0 days 00:01:38.482000,SOFT,16,1,FALSE,Bahrain,2023,98.482
VER,Red Bull Racing,14,0 days 00:01:41.295000,SOFT,17,1,FALSE,Bahrain,2023,101.295
VER,Red Bull Racing,15,0 days 00:01:58.378000,SOFT,1,2,FALSE,Bahrain,2023,118.378
VER,Red Bull Racing,16,0 days 00:01:37.801000,SOFT,2,2,TRUE,Bahrain,2023,97.801
VER,Red Bull Racing,17,0 days 00:01:37.648000,SOFT,3,2,TRUE,Bahrain,2023,97.648
VER,Red Bull Racing,18,0 days 00:01:37.614000,SOFT,4,2,TRUE,Bahrain,2023,97.614
VER,Red Bull Racing,19,0 days 00:01:37.712000,SOFT,5,2,FALSE,Bahrain,2023,97.712
VER,Red Bull Racing,20,0 days 00:01:37.788000,SOFT,6,2,FALSE,Bahrain,2023,97.788
VER,Red Bull Racing,21,0 days 00:01:37.582000,SOFT,7,2,TRUE,Bahrain,2023,97.582
VER,Red Bull Racing,22,0 days 00:01:37.651000,SOFT,8,2,FALSE,Bahrain,2023,97.651
VER,Red Bull Racing,23,0 days 00:01:37.552000,SOFT,9,2,TRUE,Bahrain,2023,97.552
VER,Red Bull Racing,24,0 days 00:01:37.387000,SOFT,10,2,TRUE,Bahrain,2023,97.387
VER,Red Bull Racing,25,0 days 00:01:37.372000,SOFT,11,2,TRUE,Bahrain,2023,97.372
VER,Red Bull Racing,26,0 days 00:01:37.682000,SOFT,12,2,FALSE,Bahrain,2023,97.682
VER,Red Bull Racing,27,0 days 00:01:37.379000,SOFT,13,2,FALSE,Bahrain,2023,97.379
VER,Red Bull Racing,28,0 days 00:01:37.651000,SOFT,14,2,FALSE,Bahrain,2023,97.651
VER,Red Bull Racing,29,0 days 00:01:37.571000,SOFT,15,2,FALSE,Bahrain,2023,97.571
VER,Red Bull Racing,30,0 days 00:01:37.549000,SOFT,16,2,FALSE,Bahrain,2023,97.549
VER,Red Bull Racing,31,0 days 00:01:37.431000,SOFT,17,2,FALSE,Bahrain,2023,97.431
VER,Red Bull Racing,32,0 days 00:01:37.691000,SOFT,18,2,FALSE,Bahrain,2023,97.691
VER,Red Bull Racing,33,0 days 00:01:37.686000,SOFT,19,2,FALSE,Bahrain,2023,97.686
